departement,population,Pop_in_QPV_pct,Total_QPV,logements_sociaux_pct,Subventions_parHab,places_migrants_p1k,Total_places_migrants,Number_of_Mosques,Mosque_p100k,Insécurité_Score,Immigration_Score,Islamisation_Score,Défrancisation_Score,Wokisme_Score
1,671289,2.95,7,16.61,50.5,2.01,1349,37,5.51,72,90,97,91,87
10,311076,9.02,10,21.82,67.3,3.07,955,24,7.72,83,99,122,91,126
11,377773,6.97,10,9.95,52.0,1.09,412,17,4.5,99,78,87,92,77
12,279736,3.39,5,6.25,67.9,1.14,319,6,2.14,56,53,42,70,68
13,2069811,15.89,71,16.64,88.3,1.71,3539,107,5.17,160,121,147,122,128
14,704605,4.61,8,17.65,41.3,2.12,1494,8,1.14,69,64,41,72,86
15,144399,1.66,1,8.45,50.6,2.35,339,2,1.38,46,50,25,49,68
16,351603,4.59,6,9.25,70.3,1.46,513,3,0.85,76,65,41,79,79
17,668160,3.46,7,8.76,64.3,1.28,855,5,0.75,72,52,30,71,70
18,299496,5.14,4,14.17,80.3,2.28,683,9,3.0,70,81,68,90,100
19,240120,2.22,3,8.1,76.0,1.74,418,10,4.16,58,65,64,79,81
2,525558,7.19,17,16.75,55.2,1.87,983,14,2.66,92,75,68,88,97
21,537577,4.68,6,14.15,46.1,2.76,1484,21,3.91,77,84,77,78,92
22,609598,2.23,7,8.11,62.3,1.39,847,4,0.66,58,51,28,72,70
23,115529,2.16,1,9.23,83.3,1.9,220,4,3.46,62,62,48,64,80
24,416325,1.9,5,6.99,65.0,1.64,683,6,1.44,56,64,38,78,70
25,548662,9.42,17,14.0,52.8,2.0,1097,28,5.1,84,89,99,89,98
26,521432,6.03,12,12.33,39.4,1.52,793,12,2.3,96,83,75,92,78
27,601305,6.21,12,15.86,41.8,1.64,986,28,4.66,74,76,87,89,83
28,432950,7.12,11,16.89,46.9,1.62,701,21,4.85,72,92,106,100,90
29,927912,2.51,9,10.86,51.3,1.33,1234,7,0.75,62,54,33,73,67
2A,166045,4.21,3,9.37,86.6,0.0,0,7,4.22,74,28,58,10,58
2B,185231,6.03,2,11.14,86.6,0.0,0,4,2.16,80,37,52,13,66
3,334715,4.0,6,11.68,56.7,2.37,793,13,3.88,72,71,62,78,86
30,764010,10.32,17,12.01,54.8,1.35,1031,35,4.58,98,101,122,111,92
31,1456261,5.99,19,14.05,42.1,1.44,2097,27,1.85,98,95,84,97,80
32,192649,1.44,1,6.33,54.0,1.87,360,9,4.67,58,45,49,41,63
33,1674980,4.65,25,14.4,60.0,1.44,2412,32,1.91,94,77,64,85,84
